Issuer,Coupon,Maturity,Price,Yield,Day,Accured interest,Dirty price,Spot rate,ZCB price
Canada,1.75,2019-03-01,100.02,1.65,1,0.6136986301369863,100.63369863013698,0.01649351376325952,0.9976079170273802
Canada,1.75,2019-09-01,99.99,1.77,1,0.6136986301369863,100.60369863013698,0.01756874944099738,0.9886571668177251
Canada,1.5,2020-03-01,99.65,1.81,1,0.526027397260274,100.17602739726028,0.018086770670319045,0.9794514375193774
Canada,0.75,2020-09-01,98.26,1.83,1,0.263013698630137,98.52301369863014,0.01818546549340594,0.9704034312369512
Canada,0.75,2021-03-01,97.72,1.84,1,0.263013698630137,97.98301369863013,0.018343735244526965,0.9613647993230108
Canada,0.75,2021-09-01,97.19,1.84,1,0.263013698630137,97.45301369863013,0.018365770901511837,0.9524601303339886
Canada,0.5,2022-03-01,95.9,1.85,1,0.17534246575342466,96.07534246575344,0.01842173975463912,0.9436587919909994
Canada,1.0,2022-09-01,97.02,1.85,1,0.3506849315068493,97.37068493150684,0.018461490226373056,0.9348002827043286
Canada,1.75,2023-03-01,99.62,1.85,1,0.6136986301369863,100.23369863013698,0.018516273080944955,0.926070895594487
Canada,2.0,2023-09-01,100.71,1.84,1,0.7013698630136986,101.41136986301369,0.018463990943670242,0.9176901270342668
Canada,1.75,2019-03-01,100.02,1.66,2,0.6136986301369863,100.63369863013698,0.01649351376325952,0.9976079170273802
Canada,1.75,2019-09-01,99.97,1.8,2,0.6136986301369863,100.58369863013698,0.017877628736287943,0.9884589016380473
Canada,1.5,2020-03-01,99.62,1.84,2,0.526027397260274,100.14602739726028,0.018351347677962444,0.9791540037900257
Canada,0.75,2020-09-01,98.21,1.86,2,0.263013698630137,98.47301369863013,0.018495764026506444,0.9699061006361913
Canada,0.75,2021-03-01,97.65,1.87,2,0.263013698630137,97.91301369863014,0.018680561263521942,0.9606695189758607
Canada,0.75,2021-09-01,97.12,1.87,2,0.263013698630137,97.38301369863014,0.018640324718797213,0.9517668662802486
Canada,0.5,2022-03-01,95.82,1.88,2,0.17534246575342466,95.99534246575342,0.018689086029765056,0.9428649509353152
Canada,1.0,2022-09-01,96.91,1.88,2,0.3506849315068493,97.26068493150684,0.018778862305420092,0.9337174205527133
Canada,1.75,2023-03-01,99.49,1.88,2,0.6136986301369863,100.10369863013698,0.01884456658777157,0.9248106828305818
Canada,2.0,2023-09-01,100.56,1.87,2,0.7013698630136986,101.2613698630137,0.01880191586358546,0.9162486099965804
Canada,1.75,2019-03-01,100.02,1.66,3,0.6136986301369863,100.63369863013698,0.01649351376325952,0.9976079170273802
Canada,1.75,2019-09-01,99.96,1.81,3,0.6136986301369863,100.57369863013697,0.018032091617849424,0.9883597690482083
Canada,1.5,2020-03-01,99.6,1.85,3,0.526027397260274,100.12602739726027,0.01852782637544672,0.978955659153234
Canada,0.75,2020-09-01,98.19,1.88,3,0.263013698630137,98.45301369863013,0.01861981187154606,0.9697073544229227
Canada,0.75,2021-03-01,97.63,1.89,3,0.263013698630137,97.89301369863013,0.018776635501961746,0.9604712935544387
Canada,0.75,2021-09-01,97.1,1.88,3,0.263013698630137,97.36301369863013,0.018718637016491554,0.9515692157686715
Canada,0.5,2022-03-01,95.77,1.89,3,0.17534246575342466,95.94534246575343,0.018856672680764328,0.9423676703239269
Canada,1.0,2022-09-01,96.87,1.89,3,0.3506849315068493,97.22068493150685,0.018894127015583278,0.9333244520849052
Canada,1.75,2023-03-01,99.43,1.89,3,0.6136986301369863,100.04369863013699,0.018996603527366412,0.9242276432578035
Canada,2.0,2023-09-01,100.5,1.89,3,0.7013698630136986,101.2013698630137,0.018936977279205843,0.9156730998057124
Canada,1.75,2019-03-01,100.02,1.68,4,0.6136986301369863,100.63369863013698,0.01649351376325952,0.9976079170273802
Canada,1.75,2019-09-01,99.95,1.83,4,0.6136986301369863,100.56369863013698,0.018186569992831185,0.9882606364583695
Canada,1.5,2020-03-01,99.58,1.87,4,0.526027397260274,100.10602739726028,0.018704340821077494,0.9787573145294108
Canada,0.75,2020-09-01,98.17,1.89,4,0.263013698630137,98.43301369863013,0.018743885116107153,0.9695086082533644
Canada,0.75,2021-03-01,97.6,1.9,4,0.263013698630137,97.86301369863013,0.01892103308081594,0.9601734418081876
Canada,0.75,2021-09-01,97.06,1.9,4,0.263013698630137,97.32301369863013,0.01887583101120319,0.9511726015273247
Canada,0.5,2022-03-01,95.72,1.91,4,0.17534246575342466,95.89534246575343,0.019024145877236557,0.9418709883734022
Canada,1.0,2022-09-01,96.79,1.92,4,0.3506849315068493,97.14068493150685,0.01912593241973392,0.9325346656520398
Canada,1.75,2023-03-01,99.32,1.92,4,0.6136986301369863,99.93369863013697,0.019276820515105004,0.9231540147030274
Canada,2.0,2023-09-01,100.38,1.91,4,0.7013698630136986,101.08136986301369,0.01920933870626986,0.914513639798934
Canada,1.75,2019-03-01,100.02,1.68,5,0.6136986301369863,100.63369863013698,0.01649351376325952,0.9976079170273802
Canada,1.75,2019-09-01,99.95,1.83,5,0.6136986301369863,100.56369863013698,0.018186569992831185,0.9882606364583695
Canada,1.5,2020-03-01,99.59,1.87,5,0.526027397260274,100.11602739726028,0.018616005021169137,0.9788565701125373
Canada,0.75,2020-09-01,98.18,1.89,5,0.263013698630137,98.44301369863014,0.018681819339228405,0.9696080229470374
Canada,0.75,2021-03-01,97.61,1.9,5,0.263013698630137,97.87301369863013,0.018872958482320106,0.9602725959765986
Canada,0.75,2021-09-01,97.07,1.9,5,0.263013698630137,97.33301369863013,0.01883664012631708,0.9512714680965587
